,Total_Earthquakes,Largest_Earthquake_Date,Largest_Earthquake_Latitude,Largest_Earthquake_Longitude,Largest_Earthquake_Ms
CHINA,623,1920.0-12-16,36.601,105.317,8.6
JAPAN,419,869.0-07-13,38.5,143.8,8.6
INDONESIA,412,2004.0-12-26,3.295,95.982,8.8
IRAN,386,856.0-12-22,36.2,54.3,7.9
TURKEY,337,1939.0-12-26,39.907,39.586,7.8
ITALY,333,1915.0-01-13,42.0,13.5,7.5
USA,278,1957.0-03-09,51.499,-175.626,9.1
GREECE,273,365.0-07-21,35.0,23.0,8.0
PHILIPPINES,226,1897.0-09-21,6.0,122.0,8.7
MEXICO,212,1787.0-03-28,16.5,-98.5,8.3
CHILE,199,1730.0-07-08,-32.5,-71.5,8.7
PERU,190,1619.0-02-14,-7.941,-79.038,8.6
RUSSIA,155,1952.0-11-04,52.755,160.057,8.5
PAPUA NEW GUINEA,103,2000.0-11-16,-4.001,152.327,8.2
TAIWAN,101,1920.0-06-05,23.688,121.954,8.0
INDIA,101,1897.0-06-12,26.0,90.7,8.7
COLOMBIA,80,1904.0-01-20,7.0,-79.0,7.9
NEW ZEALAND,71,1826.0-01-01,-45.8,166.5,8.0
ECUADOR,68,1906.0-01-31,0.955,-79.369,8.6
AFGHANISTAN,67,1909.0-07-07,36.5,70.5,8.1
VENEZUELA,66,1900.0-10-29,11.0,-66.0,8.4
SOLOMON ISLANDS,62,1934.0-07-18,-11.907,166.731,8.1
ALGERIA,57,1980.0-10-10,36.199,1.374,7.7
ALBANIA,56,1893.0-06-14,40.2,19.7,7.5
VANUATU,56,1910.0-06-16,-19.0,169.5,8.1
PAKISTAN,53,1945.0-11-27,24.5,63.0,8.0
CROATIA,53,1667.0-04-06,42.6,18.1,7.2
FRANCE,43,1909.0-06-11,43.7,5.4,6.2
USA TERRITORY,40,1902.0-09-22,18.0,146.0,8.1
GUATEMALA,39,1942.0-08-06,14.0,-91.0,7.9
NICARAGUA,39,1898.0-04-29,12.0,-86.0,7.9
EL SALVADOR,38,2001.0-01-13,13.049,-88.66,7.8
MYANMAR (BURMA),38,1912.0-05-23,21.0,97.0,8.0
COSTA RICA,36,1950.0-10-05,11.0,-85.0,7.7
SPAIN,34,1884.0-12-25,36.95,-3.983,6.7
SYRIA,33,1202.0-05-20,33.5,36.0,7.6
SWITZERLAND,31,,,,
PORTUGAL,28,1761.0-03-30,34.5,-13.0,8.5
AZORES (PORTUGAL),27,1980.0-01-01,38.727,-27.75,7.2
TAJIKISTAN,27,1907.0-10-21,38.5,67.9,7.4
NEW CALEDONIA,25,1875.0-03-28,-20.0,168.5,8.0
TONGA,24,1919.0-04-30,-18.352,-172.515,8.2
ISRAEL,24,1759.0-10-30,33.0,35.5,6.4
AUSTRALIA,24,1989.0-05-23,-52.341,160.568,8.2
IRAQ,24,1864.0-12-02,33.38,45.98,6.4
PANAMA,23,1882.0-09-07,10.0,-79.0,8.3
SLOVENIA,22,1511.0-03-26,46.2,13.433,6.5
CANADA,22,1949.0-08-22,53.62,-133.27,8.1
MOROCCO,21,2004.0-02-24,35.142,-3.997,6.4
